Gene
A2M 
ABHD5
ADA2 
ADGRV1
AKAP12
AMER1
ALOX12B
APOA2
APOC2
APOC3
ARID1A
ATRX
B3GAT3
B3GLCT
BBS4
BCL2L13
BID
BMPR1B
BMP2
BMP5
BSN
CACNA1D
CASK 
CCBE1
CDC6
CDT1
CECR2
CECR7
CENPJ
CHD7
CHST15
CHST3
CHUK
COG1
COL11A1
COL4A4
COMP
CPLX1
CRKL
CRPPA
CTBP1
CYP26A1
CYP26B1
DCHS1
DHODH
DONSON
DSCR4
DSCR8
DSCR9
DSCR10
DSPP
EFTUD2
ESPN
EYA1
EYA3
FANCB
FANCF
FANCL
FAT4
FGF10
FGF13
FGF3
FGFR1
FGFR2
FGFR3
FKRP
FKTN
FLNA
FOXI3
FRAS1
FREM2
GAB4
GATA1
GBA
GDF3
GDF6
GLI3
GMNN
GNAI3
GRIP1
GSC
HDHD5-AS1
HDHD5
HMX1
HOXA1
HOXA13
HOXA2
HOXA4
HOXD1
HOXD3
HOXD13
HS6ST2
HSFY1P1
HSPA9
IL17RA
IRF6
KATNAL2
KCTD1
KDM6A
KMT2D
LAMB2
LARGE1
LAS1L
LETM1
LINC01634
LMBRD1
MAF
MAPK1
MAPRE2
MARS1
MBD5
MCM5
MED12
MEOX1
MICAL3
MIR3198-1
MIR648
MUC4
MUC6
MYO18B
MYO7A
MTHFR
MYT1
NIN
NRP1
NSD2
ORC1
ORC4
ORC6
OVOL1
PAM16
PBX1
PCDH15
PCNT
PEX26
PHF5A
PLA2G4A 
PLCB4
POLA1
POLR1A
POLR1B
POLR1C
POLR1D
POMT1
POMT2
PRKRA
PTPN11
RBBP6
RBM10
RIPK4
RNU4ATAC
RPS26
RPS28
SALL1
SEMA3E
SETBP1
SF3B2
SF3B4
SIX1
SIX2
SIX5
SLC25A18
SPATA7
STAG2
STRA6
TBX1
TBX10
TCOF1
TCTN3
TFAP2A
TMEM121B
TP63
TPRN
TSR2
TTC37
TYMS
TWIST1
TWIST2
UGT2B17
USH1C
USP18
XKR3
ZYG11B
