Gene
ABHD12
ACTB
ACTG1
ADCY1
ADGRV1
AIFM1
ALMS1
AMMECR1
ANKH
ATP2B2
ATP6V0A4
ATP6V1B1
ATP6V1B2
BCS1L
BDP1
BSND
BTD
CABP2
CACNA1D
CCDC50
CD164
CDC14A
CDH23
CEACAM16
CEP78
CHD7
CHSY1
CIB2
CISD2
CLDN14
CLDN9
CLIC5
CLPP
CLRN1
COCH
COL11A1
COL11A2
COL2A1
COL4A3
COL4A4
COL4A5
COL4A6
COL9A1
COL9A2
COL9A3
CRYM
DCAF17
DCDC2
DIABLO
DIAPH1
DIAPH3
DLX5
DMXL2
DNMT1
DSPP
EDN3
EDNRB
ELMOD3
EPS8
EPS8L2
ERAL1
ESPN
ESRRB
EYA1
EYA4
FDXR
FGF3
FGFR1
FGFR2
FGFR3
FITM2
FOXI1
GAB1
GATA3
GIPC3
GJB2
GJB3
GJB6
GPRASP2
GPSM2
GRAP
GREB1L
GRHL2
GRXCR1
GRXCR2
GSDME
HARS2
HGF
HOMER2
HOXA2
HOXB1
HSD17B4
IFNLR1
ILDR1
KARS1
KCNE1
KCNJ10
KCNQ1
KCNQ4
KITLG
KMT2D
LARS2
LHFPL5
LHX3
LMX1A
LOXHD1
LOXL3
LRP2
LRTOMT
MAN2B1
MANBA
MARVELD2
MASP1
MCM2
MET
MGP
MIR96
MITF
MPZL2
MSRB3
MT-CO1
MT-ND1
MT-RNR1
MT-TH
MT-TI
MT-TK
MT-TL1
MT-TS1
MT-TS2
MYH14
MYH9
MYO15A
MYO3A
MYO6
MYO7A
NARS2
NDP
NEFL
NF2
NLRP3
NOG
NR2F1
OPA1
OSBPL2
OTOA
OTOF
OTOG
OTOGL
P2RX2
PAX1
PAX3
PCDH15
PDE1C
PDZD7
PEX1
PEX26
PEX6
PJVK
PLS1
PNPT1
POLR1B
POLR1C
POLR1D
POU3F4
POU4F3
PPIP5K2
PRPS1
PTPRQ
RAI1
RDX
REST
RIPOR2 
ROR1
S1PR2
SEMA3E
SERPINB6
SIX1
SIX2
SIX5
SLC17A8
SLC19A2
SLC22A4
SLC26A4
SLC26A5
SLC33A1
SLC44A4
SLC4A11
SLC52A2
SLC52A3
SLITRK6
SMPX
SNAI2
SOX10
SPATA5
SPNS2
STRC
SUCLA2
SYNE4
TBC1D24
TBL1X
TBX1
TCOF1
TECTA
TFAP2A
TIMM8A
TJP2
TMC1
TMEM126A
TMEM132E
TMIE
TMPRSS3
TNC
TPRN
TRIOBP
TRRAP
TSPEAR
TUBB4B
TWNK
USH1C
USH1G
USH2A
WBP2
WFS1
WHRN
