Gene
ADD1
ADGRD1
AMER3
AP1G2
APC2
APOL2
ARHGAP36
ARHGAP4
ARHGAP6
ARHGEF6
ARHGEF9
BMP1
CCN2
CELSR1
CELSR2
CHD7
CHRND
KIT
CLP1
CTNNA3
CXCL8
DAAM2
EEF1D
EFTUD2
EGFR
ENO2
FANCA
FANCB
FANCC
FANCL
FGD1
FGFR2
FGFR3
FOXC2
FOXF1
FOXL1 
FOXP1
FOXP2
GDI1
GGT6
GLI2
GLI3
GLS
GSTM1
HNF1B
HOXC4
HOXD13
HPS1
HPS3
HPSE2
IGF1
IL10
IL6
ITSN1
KEAP1
KLHL17
LPP
MCF2
MID1
MIR1287
MKKS
MMP2
MTA3
MYCN
MYCN
NFX1
NKX2-1
NOG
NOTCH2
NPR2
NRXN1
OCRL
PAX6
PBX1
PCDH1
PIGC
PIK3C2G
PITX2
PLEC
PPIP5K2
PTEN
PTEN
PTPN14
PYROXD2
RAB37
RAB3GAP2
RARA
RARB
RAX
RERE
SALL1
SAMD9
SHH
SHOX
SLC39A11
SLC5A2
SMAD6
SOX2
STAB1
STARD8
SUPT20H
SVEP1
TANC2
TBX1
TCF4
TECPR1
TGFB1
TMEM108
TP63
TPP1
TPP2
TRAP1
TRPS1
UBA3
VASP
VEGFA
VSX2
ZFHX3
ZFYVE9
ZIC3
